"text","webVideoUrl","createTime"
"APAKAH BAPAK BISA MENJAMIN KESEJAHTERAAN KELUARGA KAMI?korupsi terus pejabatnya gimana mau sejahtera rakyatnya#kaburajadulu #fyp #pejuangvisa #kenshuseijapan🇮🇩🇯🇵🎌 #jishusei🇯🇵🇲🇨 ","https://www.tiktok.com/@monica_gladis/video/7471544569109302534","1739604545"
"sata kata dlu buat abang ini#jisuseikensusei🇲🇨🇯🇵😜 #kaburajadulu #fyp #fypage #fypp #fyppppppppppppppppppppppp ","https://www.tiktok.com/@zennsulsel/video/7472962808229989687","1739934747"
"fyp yokk#gfx #indonesiabubar #krisisekonomi #kaburajadulu #indonesia #rakus #fypシ゚ #korupsi ","https://www.tiktok.com/@vandz90/video/7473468465152658694","1740052480"
"Bagaimana langkah bijak menanggapi #KaburAjaDulu yang sedang jadi tren media sosial di Indonesia? Saksikan podcast ‘Si Paling Kontroversi’ bersama Hendri Satrio hanya di youtube channel Metro TV   Link disini : https://youtu.be/ArslsHF-3fw #HendriSatrio #SiPalingKontroversi #SiPalingKontroversiMetroTV #IndonesiaGelap #KaburAjaDulu #PrabowoSubianto #MetroTV","https://www.tiktok.com/@metro_tv/video/7474888851345935623","1740398400"
"Si paling effort 🤧#tiktokviral #fypシ゚viral #kaburajadulu ","https://www.tiktok.com/@nanas_978/video/7475286819379121415","1740475846"
"𝐔𝐬𝐭𝐚𝐝𝐳 𝐀𝐛𝐝𝐮𝐥 𝐒𝐨𝐦𝐚𝐝 : 𝐊𝐚𝐛𝐮𝐫 𝐀𝐣𝐚 𝐃𝐮𝐥𝐮 #UAS #KaburAjaDulu","https://www.tiktok.com/@spardaxyz5/video/7474974225892232469","1740403069"
"Membalas @Ninoy Aku dulu sambil sekolah SMA sambil kerja ngumpulin uang buat kursus bahasa.. #kaburajadulu #ragilmahardika #fypindonesia #fyp #diluarnegeri ","https://www.tiktok.com/@ragilmahardika/video/7471146211832122646","1739511796"
"Mau ke Jerman... #anakbundacorla  #anakbunda  #foryoupage  #kaburajadulu ","https://www.tiktok.com/@anakbundacorla_fans/video/7474251002149965111","1740234678"
"Nasionalisme ✌🏼#indonesia🇮🇩 #japan🇯🇵 #kaburajadulu #joanna #indonesia #fyp #xyzbcafypシ ","https://www.tiktok.com/@anggitwahyuu/video/7470489585315925256","1739358901"
"#kaburajadulu  dari sisi orang crypto","https://www.tiktok.com/@nuel_41/video/7471546107735117063","1739604896"
